customer_id,annual_income,credit_score,property_value
CUST00118,116195,800,888957
CUST00119,111679,808,899315
CUST00120,69880,709,289552
CUST00121,93058,705,473268
CUST00122,28944,579,200849
CUST00123,59063,703,294097
CUST00124,182030,837,771532
CUST00125,78216,717,333561
CUST00126,59622,739,314473
CUST00127,48432,739,435106
CUST00128,43369,584,179324
CUST00129,231138,773,750466
CUST00130,215377,750,1498400
CUST00131,43786,638,100118
CUST00132,74721,687,246103
CUST00133,90981,749,316297
CUST00134,33470,497,193152
CUST00135,40214,692,481945
CUST00136,78291,721,222878
CUST00137,107601,806,577536
CUST00138,130319,819,821231
CUST00139,39234,500,102246
CUST00140,74413,652,418110
CUST00141,30608,579,173001
CUST00142,78037,693,385339
CUST00143,44101,516,244801
CUST00144,26117,576,101945
CUST00145,48951,721,289618
CUST00146,134980,795,1194337
CUST00147,91078,718,478366
CUST00148,194119,790,1292686
CUST00149,33453,476,127436
CUST00150,49425,663,326148
CUST00151,38101,552,209563
CUST00152,273651,773,1115772
CUST00153,188388,778,880474
CUST00154,50633,666,401812
CUST00155,85599,730,234704
CUST00156,207543,803,561836
CUST00157,287359,788,724944
CUST00158,31735,551,100354
CUST00159,193566,809,1078250
CUST00160,92528,651,256886
CUST00161,60935,726,318419
CUST00162,44975,493,150594
CUST00163,297412,757,941624
CUST00164,53812,747,275304
CUST00165,43559,471,216330
CUST00166,41738,667,352369
CUST00167,44596,466,234298
CUST00168,81693,722,384317
CUST00169,54170,737,381624
CUST00170,80984,660,404115
CUST00171,41190,620,187250
CUST00172,79096,724,380618
CUST00173,96374,697,228940
CUST00174,102765,770,1469980
CUST00175,85852,675,283978
CUST00176,71887,653,457328
CUST00177,27797,552,143903
CUST00178,258085,807,1333128
CUST00179,188217,783,1385672
CUST00180,72410,677,264402
CUST00181,44489,724,334054
CUST00182,78748,653,318416
CUST00183,71666,716,335197
CUST00184,95677,693,332614
CUST00185,238999,825,869379
CUST00186,38131,621,185595
CUST00187,65691,749,382155
CUST00188,87411,671,311194
CUST00189,42360,704,454439
CUST00190,27461,474,138741
CUST00191,57702,665,285339
CUST00192,142222,786,611646
CUST00193,30276,570,217128
CUST00194,62529,673,262073
CUST00195,73730,683,367075
CUST00196,105886,824,825151
CUST00197,74648,656,259450
CUST00198,75215,650,457161
CUST00199,262678,838,1226599
CUST00200,59525,749,323848
CUST00201,78680,710,462847
CUST00202,118185,834,927000
CUST00203,28339,458,100411
CUST00204,54253,726,245139
CUST00205,90755,710,258227
CUST00206,67215,670,314815
CUST00207,50195,743,207466
CUST00208,116703,806,668967
CUST00209,43372,736,445046
CUST00210,59985,716,331382
CUST00211,60981,709,390845
CUST00212,221345,811,1179530
CUST00213,42867,551,241514
CUST00214,26964,593,209320
CUST00215,31907,504,113831
CUST00216,152927,788,1315844
CUST00217,28229,526,143448
CUST00218,40169,665,266227
CUST00219,92722,656,411457
CUST00220,40752,631,131091
CUST00221,28026,477,170157
CUST00222,65745,741,321379
CUST00223,261628,848,1112357
CUST00224,29139,483,167195
CUST00225,40132,555,116637
CUST00226,38148,526,237164
CUST00227,85351,682,239383
CUST00228,93722,738,436756
CUST00229,184623,774,1348429
CUST00230,255786,801,1459251
CUST00231,135225,803,905555
CUST00232,62355,741,311891
CUST00233,175293,796,683691
CUST00234,148622,823,1384745
CUST00235,227328,754,1151209
CUST00236,279421,845,843786
CUST00237,68550,716,446475
CUST00238,62739,733,271328
CUST00239,69613,694,344935
CUST00240,56897,707,374811
CUST00241,136080,817,782221
CUST00242,43893,691,436253
CUST00243,59147,656,469488
CUST00244,63589,696,310948
CUST00245,93715,700,370474
CUST00246,74187,652,292987
CUST00247,53360,716,412942
CUST00248,93966,725,467678
CUST00249,285805,752,1144812
CUST00250,93352,672,442714
CUST00251,40716,699,476464
CUST00252,102402,805,1221319
CUST00253,71655,669,494077
CUST00254,29296,465,133664
CUST00255,66282,700,468071
CUST00256,256953,826,688171
CUST00257,142181,846,557545
CUST00258,122564,832,1241327
CUST00259,274736,850,1156988
CUST00260,97102,684,431694
CUST00261,212985,798,740744
CUST00262,55650,652,489275
CUST00263,234455,758,712684
CUST00264,77051,651,244886
CUST00265,287295,838,978262
CUST00266,96086,703,409332
CUST00267,178471,780,1310718
CUST00268,77452,651,317950
CUST00269,48005,665,245384
CUST00270,55776,698,431160
CUST00271,40364,495,202030
CUST00272,40756,683,490591
CUST00273,40550,697,307071
CUST00274,79462,669,207183
CUST00275,34996,586,239716
CUST00276,50754,708,484546
CUST00277,44115,696,394747
CUST00278,73212,692,278768
CUST00279,61026,736,232083
CUST00280,52272,702,486967
CUST00281,98592,714,435614
CUST00282,52771,664,259871
CUST00283,66925,704,264507
CUST00284,44403,726,227782
CUST00285,43582,735,239925
CUST00286,44457,526,139938
CUST00287,76171,686,236257
CUST00288,28738,572,190606
CUST00289,91339,683,290639
CUST00290,60290,710,336550
CUST00291,242726,751,822308
CUST00292,80619,732,263152
CUST00293,36712,520,174996
CUST00294,56930,662,474142
CUST00295,191747,782,1461590
CUST00296,110228,805,1126355
CUST00297,90427,726,475160
CUST00298,277756,757,1384483
CUST00299,261120,819,1146533
CUST00300,63064,749,346960
CUST00301,84417,660,465922
CUST00302,65326,658,425038
CUST00303,152637,801,1351239
CUST00304,29411,454,196570
CUST00305,63650,701,400240
CUST00306,165154,818,1198495
CUST00307,58548,732,439921
CUST00308,290800,786,1160337
CUST00309,280507,781,953909
CUST00310,50786,709,380700
CUST00311,32536,478,105718
CUST00312,69708,704,392120
CUST00313,71922,717,289214
CUST00314,46261,741,460008
CUST00315,52010,730,367840
CUST00316,28455,563,113697
CUST00317,26037,579,150777
CUST00318,124883,776,664671
CUST00319,172181,785,987943
CUST00320,204609,751,592203
CUST00321,95203,681,412619
CUST00322,46458,684,242366
CUST00323,27107,614,224077
CUST00324,186928,835,1359597
CUST00325,61664,728,326085
CUST00326,151204,805,1020554
CUST00327,35388,459,245705
CUST00328,40752,623,110970
CUST00329,252799,760,961016
CUST00330,36299,501,180802
CUST00331,47773,676,436983
CUST00332,90094,665,244105
CUST00333,83769,671,253609
CUST00334,93386,718,308063
CUST00335,78769,719,323321
CUST00336,86084,696,425839
CUST00337,209215,824,1453983
CUST00338,57011,748,310120
CUST00339,71716,691,291605
CUST00340,61319,684,441775
CUST00341,82832,698,380166
CUST00342,36530,530,213078
CUST00343,83927,674,376805
CUST00344,246693,820,1262422
CUST00345,62597,716,244109
CUST00346,63262,673,233540
CUST00347,134036,791,1339422
CUST00348,44460,563,206519
CUST00349,257696,825,941898
CUST00350,44358,734,443635
CUST00351,72823,708,210885
CUST00352,89024,700,236743
CUST00353,69271,718,317238
CUST00354,181674,828,1012961
CUST00355,256445,816,1482420
CUST00356,75230,667,335074
CUST00357,60981,659,409630
CUST00358,81606,745,366792
CUST00359,51072,720,298590
CUST00360,92920,671,205713
CUST00361,41634,679,460761
CUST00362,42174,712,274626
CUST00363,58668,702,258273
CUST00364,256679,814,1422072
CUST00365,179006,838,1252345
CUST00366,26387,536,203910
CUST00367,54824,720,424122
CUST00368,76542,697,279029
CUST00369,84937,692,327652
CUST00370,42833,500,126464
CUST00371,87176,651,355231
CUST00372,26151,586,132294
CUST00373,67267,705,286850
CUST00374,40709,594,113566
CUST00375,36460,649,143180
CUST00376,28596,464,103367
CUST00377,49048,746,352273
CUST00378,85768,654,391876
CUST00379,290062,755,737092
CUST00380,52390,708,473362
CUST00381,77628,689,368303
CUST00382,50666,740,377578
CUST00383,35475,619,162752
CUST00384,72178,729,221451
CUST00385,246624,828,650051
CUST00386,70096,670,423870
CUST00387,96166,691,371815
CUST00388,43892,701,283036
CUST00389,49658,741,229764
CUST00390,29640,625,110459
CUST00391,35131,647,180166
CUST00392,64084,672,448540
CUST00393,58577,693,216845
CUST00394,132717,793,942193
CUST00395,26792,639,108581
CUST00396,46760,661,427250
CUST00397,48354,737,456075
CUST00398,89261,722,463894
CUST00399,269376,787,609321
CUST00400,224761,779,1276297
CUST00401,95108,670,332797
CUST00402,36752,465,110931
CUST00403,88554,743,395328
CUST00404,53826,722,337298
CUST00405,61650,730,349096
CUST00406,133002,846,1157455
CUST00407,31007,630,165163
CUST00408,98395,651,235521
CUST00409,67820,702,309477
CUST00410,88129,691,373309
CUST00411,42346,571,246121
CUST00412,43116,722,226326
CUST00413,53134,747,201599
CUST00414,48078,678,228191
CUST00415,86021,733,267459
CUST00416,83895,653,384703
CUST00417,64243,685,228721
CUST00418,39488,505,236185
CUST00419,67047,727,262348
CUST00420,26927,485,170139
CUST00421,39079,572,172253
CUST00422,56782,736,446263
CUST00423,81839,675,216279
CUST00424,259943,756,1185820
CUST00425,57728,745,339914
CUST00426,51960,742,225959
CUST00427,39133,486,143525
CUST00428,228951,834,1367724
CUST00429,79637,693,200155
CUST00430,278382,848,1050529
CUST00431,81706,656,362987
CUST00432,25615,649,173284
CUST00433,158888,767,800958
CUST00434,56221,717,442337
CUST00435,84877,723,318866
CUST00436,64375,714,203559
CUST00437,31036,480,210210
CUST00438,43449,601,120125
CUST00439,212814,787,757171
CUST00440,57401,687,257599
CUST00441,79250,674,295108
CUST00442,45928,704,332769
CUST00443,235904,771,802092
CUST00444,38754,605,193929
CUST00445,86083,722,453357
CUST00446,44187,458,244448
CUST00447,268139,753,1017301
CUST00448,296326,850,923106
CUST00449,25937,630,150565
CUST00450,50461,711,341499
CUST00451,87063,665,411597
CUST00452,82993,716,341427
CUST00453,41648,511,172690
CUST00454,255411,767,612549
CUST00455,34968,522,114752
CUST00456,51714,670,448793
CUST00457,36418,507,133137
CUST00458,43432,706,220564
CUST00459,264943,823,1172129
CUST00460,75788,694,475104
CUST00461,33365,569,246477
CUST00462,266621,794,692788
CUST00463,79427,736,262975
CUST00464,190576,788,1037048
CUST00465,78943,746,299635
CUST00466,76155,748,233763
CUST00467,55279,729,394919
CUST00468,37414,544,175994
CUST00469,56666,736,285056
CUST00470,25322,605,184905
CUST00471,79157,678,279204
CUST00472,75867,714,411778
CUST00473,132164,849,728888
CUST00474,52941,659,218248
CUST00475,43301,718,312874
CUST00476,32877,556,145892
CUST00477,83034,695,213011
CUST00478,27245,500,249753
CUST00479,69920,709,344016
CUST00480,133150,796,530588
CUST00481,67871,725,363805
CUST00482,67765,694,247077
CUST00483,163594,808,852660
CUST00484,52065,742,416674
CUST00485,46302,672,372729
CUST00486,88454,694,320452
CUST00487,143402,773,656345
CUST00488,129283,806,1290867
CUST00489,54625,741,438339
CUST00490,67354,726,327543
CUST00491,96099,711,241137
CUST00492,51317,679,423886
CUST00493,51449,743,410903
CUST00494,29201,643,204765
CUST00495,59611,690,246074
CUST00496,25628,520,186948
CUST00497,184633,786,1435655
CUST00498,50401,718,348619
CUST00499,120562,835,716003
CUST00500,46437,656,431803
CUST00501,80667,653,405022
CUST00502,139812,777,786698
CUST00503,177611,805,1368686
CUST00504,205431,756,1232348
CUST00505,34334,458,188098
CUST00506,29892,614,156837
CUST00507,42208,722,400684
CUST00508,93967,663,285125
CUST00509,272706,814,645343
CUST00510,184080,781,757645
CUST00511,83609,711,394134
CUST00512,71923,680,437024
CUST00513,27609,573,180613
CUST00514,40680,654,388059
CUST00515,274117,762,1315217
CUST00516,86040,733,407086
CUST00517,77828,682,459088
CUST00518,166077,806,967254
CUST00519,33498,524,117529
CUST00520,49686,749,244627
CUST00521,71303,674,234567
CUST00522,119722,807,1424458
CUST00523,25012,627,119666
CUST00524,59865,654,218861
CUST00525,86699,712,279679
CUST00526,71213,702,319767
CUST00527,85424,666,224714
CUST00528,273365,773,535711
CUST00529,40139,678,282257
CUST00530,102938,789,1470920
CUST00531,246850,768,1090801
CUST00532,41536,674,316392
CUST00533,203269,820,1470479
CUST00534,40781,695,233201
CUST00535,61374,749,320973
CUST00536,90945,674,487275
CUST00537,67486,740,492261
CUST00538,39325,509,165801
CUST00539,68418,743,202776
CUST00540,299397,825,897019
CUST00541,28089,567,115388
CUST00542,95742,726,387983
CUST00543,38431,460,175506
CUST00544,42352,507,134895
CUST00545,57193,705,379956
CUST00546,87360,730,276749
CUST00547,25278,478,236206
CUST00548,198188,816,1281922
CUST00549,48322,683,419601
CUST00550,139948,846,788773
CUST00551,41935,653,394208
CUST00552,87621,716,246544
CUST00553,76007,737,255885
CUST00554,76745,710,223190
CUST00555,66928,719,487875
CUST00556,77454,651,361395
CUST00557,26581,628,216215
CUST00558,43651,745,336904
CUST00559,44926,738,409193
CUST00560,27345,484,117231
CUST00561,42849,570,194603
CUST00562,31095,533,245697
CUST00563,84086,724,291197
CUST00564,25156,577,191249
CUST00565,42474,711,345551
CUST00566,41106,676,439089
CUST00567,42483,719,412112
CUST00568,67524,652,306793
CUST00569,167315,784,971306
CUST00570,28341,641,169215
CUST00571,53023,718,233055
CUST00572,43997,557,105241
CUST00573,45764,695,295343
CUST00574,91605,745,216553
CUST00575,203123,779,902084
CUST00576,264708,819,679110
CUST00577,83951,712,256169
CUST00578,81944,735,440527
CUST00579,85011,734,447137
CUST00580,25524,563,193465
CUST00581,58808,713,397012
CUST00582,90863,714,283429
CUST00583,35321,583,189361
CUST00584,80343,741,310775
CUST00585,28126,516,189797
CUST00586,45983,707,434320
CUST00587,97313,739,278972
CUST00588,38567,627,202128
CUST00589,46172,676,375390
CUST00590,37126,486,171906
CUST00591,43617,674,207872
CUST00592,34414,623,105662
CUST00593,69772,719,441736
CUST00594,43471,585,181413
CUST00595,28762,578,237658
CUST00596,88980,722,315442
CUST00597,98887,680,300325
CUST00598,71417,712,413458
CUST00599,30760,457,192838
CUST00600,91395,715,397893
CUST00601,153782,759,846626
CUST00602,159013,821,605282
CUST00603,84933,716,365109
CUST00604,61291,652,279568
CUST00605,91868,679,392592
CUST00606,89892,663,426617
CUST00607,88937,709,252439
CUST00608,91967,729,249796
CUST00609,63087,733,439140
CUST00610,66703,682,214523
CUST00611,42636,698,430469
CUST00612,57165,670,276616
CUST00613,98890,683,322148
CUST00614,57444,731,450895
CUST00615,162468,820,1092243
CUST00616,41177,538,149431
CUST00617,63850,698,458329
CUST00618,46094,706,401663
CUST00619,80237,684,445159
CUST00620,62766,666,299570
CUST00621,93544,723,357598
CUST00622,95284,684,382141
CUST00623,140814,760,879444
CUST00624,27761,453,207409
CUST00625,98932,710,429147
CUST00626,90817,689,403822
CUST00627,54524,745,363798
CUST00628,65112,676,417860
CUST00629,56029,730,279343
CUST00630,258943,770,1169587
CUST00631,44558,592,215200
CUST00632,64314,720,328894
CUST00633,85343,694,226243
CUST00634,75023,702,461995
CUST00635,52375,674,263710
CUST00636,50633,672,417832
CUST00637,52136,749,331770
CUST00638,79128,657,217092
CUST00639,67339,731,493450
CUST00640,50551,722,308572
CUST00641,25254,557,102761
CUST00642,36688,468,243278
CUST00643,48055,689,396643
CUST00644,77519,712,454460
CUST00645,44669,451,166687
CUST00646,89462,659,260208
CUST00647,53908,656,309743
CUST00648,25915,480,108627
CUST00649,34022,643,222170
CUST00650,252919,825,1324406
CUST00651,98216,679,375718
CUST00652,40864,597,222881
CUST00653,117045,789,572487
CUST00654,62093,723,379823
CUST00655,92937,662,357025
CUST00656,215821,814,929433
CUST00657,30015,606,194258
CUST00658,40740,658,255615
CUST00659,57616,669,244472
CUST00660,74170,696,338536
CUST00661,80078,674,440200
CUST00662,215989,751,1073941
CUST00663,96648,668,209936
CUST00664,44461,539,160139
CUST00665,53358,669,417785
CUST00666,44015,582,203505
CUST00667,29821,535,230381
CUST00668,41344,546,109403
CUST00669,177295,835,540994
CUST00670,38789,637,220601
CUST00671,91194,745,373342
CUST00672,62767,712,382119
CUST00673,87742,677,308708
CUST00674,73775,717,439892
CUST00675,192087,795,510533
CUST00676,42752,727,243904
CUST00677,82151,670,321335
CUST00678,70855,747,213252
CUST00679,73658,660,437918
CUST00680,56555,697,262549
CUST00681,71885,747,356208
CUST00682,70060,670,267083
CUST00683,36008,585,212019
CUST00684,205241,758,1166673
CUST00685,61791,656,379841
CUST00686,189591,821,527150
CUST00687,40320,538,147168
CUST00688,40227,600,139483
CUST00689,49702,660,487641
CUST00690,74158,658,237286
CUST00691,163430,803,1369382
CUST00692,64136,698,317515
CUST00693,35736,643,151250
CUST00694,97822,679,264965
CUST00695,209568,850,687982
CUST00696,42800,716,394505
CUST00697,67363,720,322148
CUST00698,68971,737,252857
CUST00699,65924,747,311083
CUST00700,131342,815,1310360
CUST00701,27736,614,118000
CUST00702,219121,769,1342613
CUST00703,77486,655,376124
CUST00704,108997,764,505302
CUST00705,86389,739,406700
CUST00706,230716,765,882015
CUST00707,40285,725,307396
CUST00708,49846,718,255942
CUST00709,55558,667,367254
CUST00710,37840,559,133112
CUST00711,102768,772,584036
CUST00712,96346,717,248223
CUST00713,42990,514,186605
CUST00714,35283,452,193976
CUST00715,64676,686,409678
CUST00716,46394,742,325909
CUST00717,50717,729,497398
CUST00718,213609,777,757609
CUST00719,28381,642,195201
CUST00720,49893,709,424863
CUST00721,61328,728,475682
CUST00722,33572,496,245460
CUST00723,93639,671,296411
CUST00724,160496,828,1222221
CUST00725,55333,704,313207
CUST00726,73476,748,461616
CUST00727,66778,723,217870
CUST00728,129410,801,988032
CUST00729,76761,654,276294
CUST00730,29230,597,197966
CUST00731,57955,690,210476
CUST00732,58070,684,335215
CUST00733,32480,479,142383
CUST00734,76537,696,475802
CUST00735,58577,695,316869
CUST00736,51223,736,355006
CUST00737,45906,730,353597
CUST00738,120595,763,1274377
CUST00739,59173,707,227654
CUST00740,41424,499,165293
CUST00741,42407,598,120099
CUST00742,79672,675,434846
CUST00743,27043,614,221481
CUST00744,110972,825,692050
CUST00745,56129,739,316238
CUST00746,66199,739,362227
CUST00747,184372,800,1239646
CUST00748,40641,593,237047
CUST00749,153936,804,1221954
CUST00750,84392,651,461513
CUST00751,67808,696,241080
CUST00752,139698,836,1184099
CUST00753,79599,720,426355
CUST00754,44604,491,100796
CUST00755,87119,722,220562
CUST00756,59124,675,356799
CUST00757,96956,735,267324
CUST00758,172516,764,602822
CUST00759,144738,780,740601
CUST00760,31648,482,109748
CUST00761,45605,715,330776
CUST00762,93261,696,426690
CUST00763,61984,657,399174
CUST00764,211946,820,992902
CUST00765,81344,749,439948
CUST00766,71494,658,246842
CUST00767,224307,832,1099027
CUST00768,84249,652,352005
CUST00769,43054,613,234646
CUST00770,37342,619,161940
CUST00771,59546,699,495826
CUST00772,95822,674,456809
CUST00773,129728,800,977102
CUST00774,264090,818,1442946
CUST00775,34467,636,167385
CUST00776,55379,657,211926
CUST00777,106064,807,733797
CUST00778,59242,712,321368
CUST00779,224729,776,1134370
CUST00780,76597,672,209538
CUST00781,229521,763,1175215
CUST00782,81200,652,478800
CUST00783,240145,786,1315261
CUST00784,212732,788,1268492
CUST00785,77018,701,380396
CUST00786,54348,729,437256
CUST00787,79588,651,300800
CUST00788,202503,761,1274077
CUST00789,90652,653,289376
CUST00790,42983,460,103087
CUST00791,98385,747,214241
CUST00792,88052,702,349189
CUST00793,26637,634,173520
CUST00794,38248,599,195724
CUST00795,58346,712,403120
CUST00796,73920,710,205624
CUST00797,69760,676,424820
CUST00798,51146,666,311572
CUST00799,80457,700,260120
CUST00800,49003,681,237639
CUST00801,78718,659,479593
CUST00802,80542,741,260381
CUST00803,64725,722,369988
CUST00804,42945,728,441591
CUST00805,92052,675,334273
CUST00806,41921,745,256713
CUST00807,90524,723,301124
CUST00808,56581,659,458495
CUST00809,89761,707,228683
CUST00810,142965,781,649426
CUST00811,145501,791,880254
CUST00812,230875,802,596043
CUST00813,186816,773,1241538
CUST00814,91741,702,409566
CUST00815,140586,782,1245181
CUST00816,131290,781,624537
CUST00817,72325,654,320017
CUST00818,41472,562,176550
CUST00819,75223,653,286387
CUST00820,80284,726,240974
CUST00821,43233,514,210588
CUST00822,42104,557,136446
CUST00823,41856,538,106522
CUST00824,61510,670,262962
CUST00825,38709,462,118392
CUST00826,49355,681,340201
CUST00827,43879,502,141591
CUST00828,44870,620,216003
CUST00829,56176,745,489999
CUST00830,170576,812,701082
CUST00831,72569,743,231887
CUST00832,94720,653,352558
CUST00833,87935,689,252840
CUST00834,73585,650,492701
CUST00835,29688,556,159267
CUST00836,55802,716,441903
CUST00837,79496,724,324804
CUST00838,33996,490,178986
CUST00839,46380,723,251875
CUST00840,35235,646,210748
CUST00841,50918,710,316820
CUST00842,26942,619,112350
CUST00843,55565,721,452165
CUST00844,38052,515,143712
CUST00845,48845,731,490453
CUST00846,43186,483,169741
CUST00847,32236,457,119690
CUST00848,246064,787,1313218
CUST00849,174247,831,901590
CUST00850,55023,748,334663
CUST00851,243642,777,1126370
CUST00852,94700,698,407732
CUST00853,98422,661,286124
CUST00854,38911,478,203607
CUST00855,91711,664,204609
CUST00856,154227,809,1062339
CUST00857,58457,736,315196
CUST00858,73735,659,308685
CUST00859,69342,696,479550
CUST00860,60473,722,302788
CUST00861,88817,739,342276
CUST00862,61296,741,345264
CUST00863,77305,722,336616
CUST00864,247368,835,1109185
CUST00865,69945,659,454157
CUST00866,111352,759,778079
CUST00867,45631,720,383178
CUST00868,77233,665,271884
CUST00869,92702,659,233146
CUST00870,49611,732,486199
CUST00871,35888,489,172324
CUST00872,51506,713,242610
CUST00873,97306,697,338425
CUST00874,40791,749,406535
CUST00875,34602,451,172786
CUST00876,36534,484,244982
CUST00877,62002,651,412187
CUST00878,111628,763,657504
CUST00879,73615,741,228242
CUST00880,83351,745,400806
CUST00881,40733,702,310017
CUST00882,96668,747,236524
CUST00883,54440,748,446026
CUST00884,53093,656,261556
CUST00885,74442,682,479256
CUST00886,48457,676,201107
CUST00887,78672,748,380891
CUST00888,285940,782,512132
CUST00889,59927,728,242386
CUST00890,212498,825,1064933
CUST00891,29859,504,102285
CUST00892,84430,656,212330
CUST00893,65405,745,438295
CUST00894,75871,666,317872
CUST00895,68151,650,271636
CUST00896,206738,832,1262898
CUST00897,67835,721,378085
CUST00898,52411,735,385182
CUST00899,229740,767,1045604
CUST00900,56835,696,379531
CUST00901,69445,732,484526
CUST00902,36406,531,188030
CUST00903,78693,722,448295
CUST00904,199423,831,723483
CUST00905,94241,747,220163
CUST00906,43315,474,141784
CUST00907,85721,702,347858
CUST00908,66968,698,399273
CUST00909,50808,728,412291
CUST00910,63203,678,337639
CUST00911,74897,664,312890
CUST00912,110810,829,591767
CUST00913,258802,790,1031116
CUST00914,47905,665,385334
CUST00915,46575,656,202429
CUST00916,249913,796,1449188
CUST00917,88314,685,236352
CUST00918,62141,704,457508
CUST00919,27047,459,246307
CUST00920,94125,723,317053
CUST00921,46131,657,260917
CUST00922,43106,599,193331
CUST00923,266401,847,1318372
CUST00924,98929,724,262426
CUST00925,137537,766,1205593
CUST00926,32044,502,244784
CUST00927,92159,742,387902
CUST00928,250720,804,964453
CUST00929,245306,793,1235202
CUST00930,29325,531,234082
CUST00931,43901,694,344974
CUST00932,188032,812,728145
CUST00933,55898,673,356954
CUST00934,76244,732,376889
CUST00935,28904,647,240005
CUST00936,29504,542,156089
CUST00937,90167,720,341956
CUST00938,27682,500,244081
CUST00939,81577,701,394535
CUST00940,43425,664,449431
CUST00941,282137,843,839424
CUST00942,31964,509,234746
CUST00943,208086,826,1327874
CUST00944,40894,692,394144
CUST00945,158738,753,1211409
CUST00946,25735,636,220190
CUST00947,262442,762,684291
CUST00948,48762,745,304286
CUST00949,149008,775,832335
CUST00950,79285,715,299039
CUST00951,151816,805,1021524
CUST00952,94506,654,276584
CUST00953,66402,713,436298
CUST00954,89225,688,370600
CUST00955,90585,707,320279
CUST00956,98547,656,438849
CUST00957,39514,551,186954
CUST00958,61101,729,304589
CUST00959,42943,529,160984
CUST00960,55923,727,330778
CUST00961,40852,525,105612
CUST00962,85564,736,436903
CUST00963,25615,507,154598
CUST00964,65168,657,305346
CUST00965,180836,785,560342
CUST00966,64979,681,370711
CUST00967,130862,792,754762
CUST00968,41595,458,228379
CUST00969,34289,452,145702
CUST00970,62052,667,329657
CUST00971,68105,732,341155
CUST00972,214432,839,1113506
CUST00973,83108,697,201765
CUST00974,37606,533,229356
CUST00975,26185,573,198933
CUST00976,79009,655,377643
CUST00977,240355,785,1355064
CUST00978,34463,558,102300
CUST00979,69344,654,337440
CUST00980,43865,717,497949
CUST00981,27558,586,198800
CUST00982,67077,732,243999
CUST00983,36993,575,119217
CUST00984,51034,733,435893
CUST00985,33561,632,185791
CUST00986,200980,850,917424
CUST00987,30210,620,119059
CUST00988,96070,726,412899
CUST00989,81166,748,263527
